gene_name,Class,Phenotype 1,Phenotype 2,Phenotype 3,Phenotype 4,Phenotype 5,Phenotype 6,Phenotype 7,Phenotype 8,Phenotype 9,Phenotype 10,Phenotype 11,Phenotype 12,Phenotype 13,Phenotype 14,Phenotype 15,Phenotype 16
ant(2'')-Ia_1_X04555,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_10_HM367617,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_11_HM367620,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_12_HQ880250,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_13_DQ176450,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_14_DQ266447,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_15_EF205594,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_16_HQ386848,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_17_JTTZ01000034,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_19_GQ466184,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_2_JF826500,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_20_AY139599,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_3_X74412,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_4_AF458082,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_5_AY139594,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_6_AJ871915,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_7_DQ018384,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(2'')-Ia_8_AY920928,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
